Brand,Count
Volkswagen,6907
Opel,4789
Ford,4410
Skoda,2874
Renault,2791
Audi,2681
BMW,2392
Mercedes-Benz,2341
SEAT,1922
Hyundai,1880
Fiat,1692
Toyota,1272
Peugeot,1226
Kia,1040
smart,955
Citroen,952
Volvo,803
Nissan,744
Mazda,713
Dacia,711
MINI,465
Mitsubishi,401
Suzuki,358
Porsche,243
Chevrolet,223
Honda,182
Land,164
Jeep,158
Alfa,130
Jaguar,126
Cupra,65
Subaru,57
Abarth,43
Lexus,43
SsangYong,37
Lada,31
Aston,30
Dodge,22
Lancia,17
DS,16
Tesla,13
Bentley,12
Infiniti,12
Maserati,12
Microcar,11
Ferrari,11
McLaren,11
Alpina,10
Daihatsu,10
Lamborghini,9
Cadillac,7
Ligier,5
Chrysler,5
Polestar,4
Corvette,3
Rolls-Royce,3
Piaggio,3
Iveco,3
Aixam,2
Morgan,2
Maybach,2
RAM,2
Estrima,2
DFSK,2
Baic,2
FISKER,1
Isuzu,1
Others,1
Zhidou,1
Brilliance,1
Alpine,1
